timestamp,P_pv_kw,P_wwtp_kw,P_dc_kw,P_bess_chg_kw,P_bess_dis_kw,P_grid_kw,P_curtail_kw,SOC_kwh,balance_error_kw,dispatch_state,rate_period,electricity_price,hour_of_day
2023-01-01 00:00:00,0.0,2211.4916272462224,2500.0,0.0,0.0,3911.4916272462224,0.0,4800.0,0.0,CHARGE,off_peak,0.07,0
2023-01-01 01:00:00,0.0,2065.528052963401,2500.0,0.0,0.0,3765.528052963401,0.0,4800.0,0.0,CHARGE,off_peak,0.07,1
2023-01-01 02:00:00,0.0,2072.782821423386,2500.0,0.0,0.0,3772.782821423386,0.0,4800.0,0.0,CHARGE,off_peak,0.07,2
2023-01-01 03:00:00,0.0,2085.2545706207607,2500.0,0.0,0.0,3785.25457062076,0.0,4800.0,0.0,CHARGE,off_peak,0.07,3
2023-01-01 04:00:00,0.0,2067.054111625459,2500.0,0.0,0.0,3767.054111625459,0.0,4800.0,0.0,CHARGE,off_peak,0.07,4
2023-01-01 05:00:00,0.0,2270.359724707263,2500.0,0.0,0.0,3970.359724707263,0.0,4800.0,0.0,CHARGE,off_peak,0.07,5
2023-01-01 06:00:00,0.0,2536.54670373486,2500.0,0.0,0.0,4236.54670373486,0.0,4800.0,0.0,CHARGE,off_peak,0.07,6
2023-01-01 07:00:00,0.0,2695.6501160142184,2500.0,0.0,0.0,4395.650116014218,0.0,4800.0,0.0,CHARGE,off_peak,0.07,7
2023-01-01 08:00:00,1.815945838841717e-45,2802.273067558878,2500.0,0.0,2.2730675588782105,4500.0,0.0,4797.667931097899,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,8
2023-01-01 09:00:00,205.34211576152128,2767.5881243904832,2500.0,2.3926017257629297,0.0,4264.638610354725,0.0,4800.0,0.0,CHARGE,off_peak,0.07,9
2023-01-01 10:00:00,1512.6515370549962,2766.02174381639,2500.0,0.0,0.0,2953.370206761394,0.0,4800.0,0.0,CHARGE,off_peak,0.07,10
2023-01-01 11:00:00,2044.5637868634872,2670.418940128431,2500.0,0.0,0.0,2325.855153264944,0.0,4800.0,0.0,CHARGE,off_peak,0.07,11
2023-01-01 12:00:00,2209.871639893402,2576.22558283709,2500.0,0.0,0.0,2066.353942943688,0.0,4800.0,0.0,CHARGE,off_peak,0.07,12
2023-01-01 13:00:00,2447.498768882242,2605.065916878073,2500.0,0.0,0.0,1857.567147995831,0.0,4800.0,0.0,CHARGE,off_peak,0.07,13
2023-01-01 14:00:00,2927.7011226261575,2617.8898055688683,2500.0,0.0,0.0,1390.1886829427103,0.0,4800.0,0.0,CHARGE,off_peak,0.07,14
2023-01-01 15:00:00,3387.367213420746,2634.8436490109807,2500.0,0.0,0.0,947.4764355902348,0.0,4800.0,0.0,CHARGE,off_peak,0.07,15
2023-01-01 16:00:00,1712.2989962204954,2748.9425655425594,2500.0,0.0,0.0,2736.6435693220637,0.0,4800.0,0.0,CHARGE,off_peak,0.07,16
2023-01-01 17:00:00,0.0,2721.646589480964,2500.0,0.0,0.0,4421.646589480964,0.0,4800.0,0.0,CHARGE,off_peak,0.07,17
2023-01-01 18:00:00,0.0,2766.7299512096915,2500.0,0.0,0.0,4466.7299512096915,0.0,4800.0,0.0,CHARGE,off_peak,0.07,18
2023-01-01 19:00:00,0.0,2658.1015180066124,2500.0,0.0,0.0,4358.101518006612,0.0,4800.0,0.0,CHARGE,off_peak,0.07,19
2023-01-01 20:00:00,0.0,2565.9387360813685,2500.0,0.0,0.0,4265.938736081369,0.0,4800.0,0.0,CHARGE,off_peak,0.07,20
2023-01-01 21:00:00,0.0,2470.4680197918474,2500.0,0.0,0.0,4170.468019791848,0.0,4800.0,0.0,CHARGE,off_peak,0.07,21
2023-01-01 22:00:00,0.0,2494.900825193102,2500.0,0.0,0.0,4194.900825193102,0.0,4800.0,0.0,CHARGE,off_peak,0.07,22
2023-01-01 23:00:00,0.0,2411.121059175112,2500.0,0.0,0.0,4111.121059175111,0.0,4800.0,0.0,CHARGE,off_peak,0.07,23
2023-01-02 00:00:00,0.0,2182.489356901711,2500.0,0.0,0.0,3882.4893569017113,0.0,4800.0,0.0,CHARGE,off_peak,0.07,0
2023-01-02 01:00:00,0.0,2093.341279120068,2500.0,0.0,0.0,3793.341279120068,0.0,4800.0,0.0,CHARGE,off_peak,0.07,1
2023-01-02 02:00:00,0.0,2064.34215500052,2500.0,0.0,0.0,3764.3421550005205,0.0,4800.0,0.0,CHARGE,off_peak,0.07,2
2023-01-02 03:00:00,0.0,2062.5358315933527,2500.0,0.0,0.0,3762.5358315933527,0.0,4800.0,0.0,CHARGE,off_peak,0.07,3
2023-01-02 04:00:00,0.0,2161.91239833477,2500.0,0.0,0.0,3861.91239833477,0.0,4800.0,0.0,CHARGE,off_peak,0.07,4
2023-01-02 05:00:00,0.0,2340.026420205924,2500.0,0.0,0.0,4040.0264202059243,0.0,4800.0,0.0,CHARGE,off_peak,0.07,5
2023-01-02 06:00:00,0.0,2617.4917416294547,2500.0,0.0,0.0,4317.491741629455,0.0,4800.0,0.0,CHARGE,off_peak,0.07,6
2023-01-02 07:00:00,0.0,2692.4749625926743,2500.0,0.0,0.0,4392.474962592674,0.0,4800.0,0.0,CHARGE,off_peak,0.07,7
2023-01-02 08:00:00,-0.0,2782.9080145479393,2500.0,0.0,0.0,4482.908014547939,0.0,4800.0,0.0,CHARGE,off_peak,0.07,8
2023-01-02 09:00:00,319.1503002747713,2769.6113098853625,2500.0,0.0,0.0,4150.461009610591,0.0,4800.0,0.0,HOLD_SOLAR,partial_peak,0.12,9
2023-01-02 10:00:00,1892.1301126653111,2755.9217159502614,2500.0,0.0,0.0,2563.7916032849503,0.0,4800.0,0.0,HOLD_SOLAR,partial_peak,0.12,10
2023-01-02 11:00:00,2149.4729932911155,2684.8826872705563,2500.0,0.0,0.0,2235.4096939794404,0.0,4800.0,0.0,HOLD_SOLAR,partial_peak,0.12,11
2023-01-02 12:00:00,2155.5840640242336,2569.428499644098,2500.0,0.0,0.0,2113.8444356198647,0.0,4800.0,0.0,WINTER_IDLE,partial_peak,0.12,12
2023-01-02 13:00:00,2370.9392533915347,2526.7690523813117,2500.0,0.0,0.0,1855.829798989777,0.0,4800.0,0.0,WINTER_IDLE,partial_peak,0.12,13
2023-01-02 14:00:00,2827.0280291770405,2566.617871381215,2500.0,0.0,0.0,1439.5898422041746,0.0,4800.0,0.0,WINTER_IDLE,partial_peak,0.12,14
2023-01-02 15:00:00,3253.5804459293204,2695.6621856821193,2500.0,0.0,0.0,1142.081739752799,0.0,4800.0,0.0,WINTER_IDLE,partial_peak,0.12,15
2023-01-02 16:00:00,1653.3053519472633,2764.360153096952,2500.0,0.0,0.0,2811.0548011496885,0.0,4800.0,0.0,WINTER_IDLE,partial_peak,0.12,16
2023-01-02 17:00:00,0.0,2782.171206468158,2500.0,0.0,0.0,4482.171206468158,0.0,4800.0,0.0,WINTER_IDLE,partial_peak,0.12,17
2023-01-02 18:00:00,0.0,2705.40842958597,2500.0,0.0,1113.9428571428573,3291.465572443113,0.0,3657.142857142857,0.0,EVENING_DIS,partial_peak,0.12,18
2023-01-02 19:00:00,0.0,2669.8061240453153,2500.0,0.0,1113.942857142857,3255.8632669024582,0.0,2514.285714285714,0.0,EVENING_DIS,partial_peak,0.12,19
2023-01-02 20:00:00,0.0,2578.402650639445,2500.0,0.0,1113.9428571428573,3164.4597934965877,0.0,1371.4285714285713,0.0,EVENING_DIS,partial_peak,0.12,20
2023-01-02 21:00:00,0.0,2506.838059485187,2500.0,0.0,556.9714285714285,3649.866630913759,0.0,800.0,9.094947017729282e-13,EVENING_DIS,partial_peak,0.12,21
2023-01-02 22:00:00,0.0,2481.2302372581607,2500.0,1000.0,0.0,5181.230237258161,0.0,1774.7,0.0,CHARGE,off_peak,0.07,22
2023-01-02 23:00:00,0.0,2426.613648131425,2500.0,1000.0,626.6136481314252,4500.0,0.0,2106.52152648874,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,23
2023-01-03 00:00:00,0.0,2227.1253111929173,2500.0,1000.0,427.12531119291725,4500.0,0.0,2643.009449754445,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,0
2023-01-03 01:00:00,0.0,2110.454058225624,2500.0,1000.0,310.45405822562407,4500.0,0.0,3299.1970272391845,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,1
2023-01-03 02:00:00,0.0,2054.9234589141925,2500.0,1000.0,254.92345891419245,4500.0,0.0,4012.3565953994466,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,2
