timestamp,hour,P_pv_kw,P_wwtp_kw,P_dc_kw,P_bess_chg_kw,P_bess_dis_kw,P_grid_kw,P_curtail_kw,SOC_kwh,balance_error_kw,T_chip_C,T_coolant_C,load_factor_eff,T_outside_C,api_latency_ms,local_pct,routing,alert_level,reasoning
2023-01-01 00:00:00,0,0.0,2382.22945317372,2000.0,820.7653637016518,0.0,4402.994816875372,0.0,4800.0,0.0,55.00000000052912,38.999999998163766,0.8,7.0,441.8983989571894,1.0,local,1,T_chip=55.0°C | SOC=67% | API=442ms | route=local
2023-01-01 01:00:00,1,0.0,2222.6943757975023,2000.0,0.0,0.0,3422.6943757975023,0.0,4800.0,0.0,55.27259338931929,39.27259339096515,0.8,7.2725933896874535,206.25346890830775,1.0,local,0,T_chip=55.3°C | SOC=67% | API=206ms | route=local
2023-01-01 02:00:00,2,0.0,2227.742505998255,2000.0,0.0,0.0,3427.742505998255,0.0,4800.0,0.0,56.07179677005919,40.07179676856299,0.8,8.071796769724491,529.6673940480025,1.0,local,1,T_chip=56.1°C | SOC=67% | API=530ms | route=local
2023-01-01 03:00:00,3,0.0,2284.712037985367,2000.0,0.0,0.0,3484.712037985367,0.0,4800.0,0.0,57.34314575014956,41.34314575175026,0.8,9.34314575050762,1514.2246929399637,1.0,local,1,T_chip=57.3°C | SOC=67% | API=1514ms | route=local
2023-01-01 04:00:00,4,0.0,2311.904790986291,2000.0,0.0,0.0,3511.904790986291,0.0,4800.0,0.0,58.99999999978569,43.00000000074374,0.8,11.0,183.83506242902652,0.9,local,0,T_chip=59.0°C | SOC=67% | API=184ms | route=local
2023-01-01 05:00:00,5,0.0,2424.4660253155207,2000.0,0.0,0.0,3624.4660253155207,0.0,4800.0,0.0,60.92944763978002,44.929447637096956,0.8,12.929447639179834,183.83868425974805,0.9,local,0,T_chip=60.9°C | SOC=67% | API=184ms | route=local
2023-01-01 06:00:00,6,0.0,2623.0460105472375,2000.0,0.0,0.0,3823.0460105472375,0.0,4800.0,0.0,63.00000000051112,46.99999999822622,0.8,15.0,1619.8330770135194,1.0,local,1,T_chip=63.0°C | SOC=67% | API=1620ms | route=local
2023-01-01 07:00:00,7,12.402150065817224,2757.840168076221,2000.0,0.0,0.0,3945.4380180104035,0.0,4800.0,0.0,65.07055236176122,49.070552357554384,0.8,17.070552360820166,611.5181772815774,1.0,local,1,T_chip=65.1°C | SOC=67% | API=612ms | route=local
2023-01-01 08:00:00,8,591.4344812289014,2868.378915031906,2000.0,0.0,0.0,3476.9444338030044,0.0,4800.0,0.0,66.9999999996242,51.00000000130421,0.8,19.0,138.60854572272845,0.9,local,1,T_chip=67.0°C | SOC=67% | API=139ms | route=local
2023-01-01 09:00:00,9,2522.20111130488,2836.2063158990486,2000.0,0.0,0.0,1514.0052045941684,0.0,4800.0,0.0,68.65685424867694,52.65685425232231,0.8,20.65685424949238,466.89064143552815,1.0,local,1,T_chip=68.7°C | SOC=67% | API=467ms | route=local
2023-01-01 10:00:00,10,3706.432875008373,2766.5989412060635,2000.0,0.0,0.0,260.1660661976907,0.0,4800.0,0.0,69.92820323044316,53.92820322969371,0.8,21.928203230275507,139.61962686757548,0.9,local,0,T_chip=69.9°C | SOC=67% | API=140ms | route=local
