timestamp,hour,P_pv_kw,P_wwtp_kw,P_dc_kw,P_bess_chg_kw,P_bess_dis_kw,P_grid_kw,P_curtail_kw,SOC_kwh,balance_error_kw,T_chip_C,T_coolant_C,load_factor_eff,T_outside_C,api_latency_ms,local_pct,routing,alert_level,reasoning
2023-01-01 00:00:00,0,0.0,2382.22945317372,1750.0,820.7653637016518,0.0,4152.994816875372,0.0,4800.0,0.0,48.99999999969808,35.000000001047745,0.7,7.0,58.03447620810556,0.7,local,0,T_chip=49.0°C | SOC=67% | API=58ms | route=local
2023-01-01 01:00:00,1,0.0,2222.6943757975023,1750.0,0.0,0.0,3172.6943757975023,0.0,4800.0,0.0,49.272593390804786,35.27259338580989,0.7,7.2725933896874535,47.96846016674318,0.5,local,0,T_chip=49.3°C | SOC=67% | API=48ms | route=local
2023-01-01 02:00:00,2,0.0,2227.742505998255,1750.0,0.0,0.0,3177.742505998255,0.0,4800.0,0.0,50.07179676909434,36.07179677191137,0.7,8.071796769724491,60.72342675526532,0.7,local,0,T_chip=50.1°C | SOC=67% | API=61ms | route=local
2023-01-01 03:00:00,3,0.0,2284.712037985367,1750.0,0.0,0.0,3234.712037985367,0.0,4800.0,0.0,51.34314575082195,37.34314574941683,0.7,9.34314575050762,78.95925519162466,0.7,local,0,T_chip=51.3°C | SOC=67% | API=79ms | route=local
2023-01-01 04:00:00,4,0.0,2311.904790986291,1750.0,0.0,0.0,3261.904790986291,0.0,4800.0,0.0,52.999999999569134,39.00000000149529,0.7,11.0,46.60822338308117,0.5,local,0,T_chip=53.0°C | SOC=67% | API=47ms | route=local
2023-01-01 05:00:00,5,0.0,2424.4660253155207,1750.0,0.0,0.0,3374.4660253155207,0.0,4800.0,0.0,54.92944763857487,40.92944764127932,0.7,12.929447639179834,46.608452944632084,0.5,local,0,T_chip=54.9°C | SOC=67% | API=47ms | route=local
2023-01-01 06:00:00,6,0.0,2623.0460105472375,1750.0,0.0,0.0,3573.0460105472375,0.0,4800.0,0.0,57.0000000004058,42.99999999859172,0.7,15.0,80.3013835108684,0.7,local,0,T_chip=57.0°C | SOC=67% | API=80ms | route=local
2023-01-01 07:00:00,7,12.402150065817224,2757.840168076221,1750.0,0.0,0.0,3695.4380180104035,0.0,4800.0,0.0,59.07055236052505,45.07055236184434,0.7,17.070552360820166,62.94450241895929,0.7,local,0,T_chip=59.1°C | SOC=67% | API=63ms | route=local
2023-01-01 08:00:00,8,591.4344812289014,2868.378915031906,1750.0,0.0,0.0,3226.944433803005,0.0,4800.0,0.0,61.0000000004424,46.99999999846474,0.7,19.0,43.43131347773511,0.5,local,1,T_chip=61.0°C | SOC=67% | API=43ms | route=local
2023-01-01 09:00:00,9,2522.20111130488,2836.2063158990486,1750.0,0.0,0.0,1264.0052045941684,0.0,4800.0,0.0,62.65685424991968,48.656854248009495,0.7,20.65685424949238,58.838183211876746,0.7,local,1,T_chip=62.7°C | SOC=67% | API=59ms | route=local
2023-01-01 10:00:00,10,3706.432875008373,2766.5989412060635,1750.0,0.0,0.0,10.166066197690725,0.0,4800.0,0.0,63.92820323159986,49.9282032256795,0.7,21.928203230275507,43.51030025709864,0.5,local,0,T_chip=63.9°C | SOC=67% | API=44ms | route=local
2023-01-01 11:00:00,11,3921.29614597552,2609.3297477802125,1750.0,361.9663981953081,0.0,4.547473508864641e-13,0.0,5152.808648320967,0.0,64.72740661001549,50.72740661134349,0.7,22.727406610312546,43.48013118388244,0.5,local,0,T_chip=64.7°C | SOC=72% | API=43ms | route=local
2023-01-01 12:00:00,12,4133.664942614198,2548.213376813733,1750.0,635.4515658004648,0.0,0.0,0.0,5772.18328950668,0.0,65.00000000081953,50.99999999715595,0.7,23.0,53.76440799982641,0.7,local,0,T_chip=65.0°C | SOC=80% | API=54ms | route=local
