timestamp,hour,P_pv_kw,P_wwtp_kw,P_dc_kw,P_bess_chg_kw,P_bess_dis_kw,P_grid_kw,P_curtail_kw,SOC_kwh,balance_error_kw,T_chip_C,T_coolant_C,load_factor_eff,T_outside_C,api_latency_ms,local_pct,routing,alert_level,reasoning
2023-01-01 00:00:00,0,0.0,3450.9416380810376,2375.0,820.7653637016518,1346.70700178269,4500.0,0.0,3418.336922352837,0.0,80.96774193481733,65.64516129263569,0.7661290322580643,35.0,58.03447620810556,0.7,api,1,T_chip=81.0°C | SOC=47% | API=58ms | throttle 42% | route=api
2023-01-01 01:00:00,1,0.0,3331.935894217862,2375.0,1000.0,1406.9358942178624,4500.0,0.0,2949.5816086995465,0.0,80.96774193457556,65.64516129347471,0.7661290322580643,35.0,47.96846016674318,0.5,api,1,T_chip=81.0°C | SOC=41% | API=48ms | throttle 42% | route=api
2023-01-01 02:00:00,2,0.0,3235.7998241418204,2375.0,1000.0,1310.7998241418209,4500.0,0.0,2579.4577406972676,0.0,80.96774193359319,65.64516129688393,0.7661290322580643,35.0,60.72342675526532,0.7,api,1,T_chip=81.0°C | SOC=36% | API=61ms | throttle 42% | route=api
2023-01-01 03:00:00,3,0.0,3172.1225787801377,2375.0,1000.0,1247.1225787801377,4500.0,0.0,2274.6639695059903,0.0,80.96774193524612,65.64516129114755,0.7661290322580643,35.0,78.95925519162466,0.7,api,1,T_chip=81.0°C | SOC=32% | API=79ms | throttle 42% | route=api
2023-01-01 04:00:00,4,0.0,3224.817645519051,2375.0,1000.0,1299.8176455190514,4500.0,0.0,1915.807341293154,0.0,80.96774193492135,65.64516129227474,0.7661290322580643,35.0,46.60822338308117,0.5,api,1,T_chip=81.0°C | SOC=27% | API=47ms | throttle 42% | route=api
2023-01-01 05:00:00,5,0.0,3480.7196958480636,2375.0,1000.0,1087.5774155584372,4968.142280289627,0.0,1774.7000000000003,0.0,80.96774193429941,65.64516129443307,0.7661290322580643,35.0,46.608452944632084,0.5,api,1,T_chip=81.0°C | SOC=25% | API=47ms | throttle 42% | route=api
2023-01-01 06:00:00,6,0.0,3716.1932588450895,2375.0,1000.0,950.0400900000003,5341.153168845089,0.0,1774.7000000000003,0.0,80.96774193455543,65.64516129354456,0.7661290322580643,35.0,80.3013835108684,0.7,api,1,T_chip=81.0°C | SOC=25% | API=80ms | throttle 42% | route=api
2023-01-01 07:00:00,7,368.8445500470975,3885.4743370136875,2375.0,1000.0,950.0400900000003,5141.58969696659,0.0,1774.7000000000003,0.0,80.96774193363943,65.64516129672343,0.7661290322580643,35.0,62.94450241895929,0.7,api,1,T_chip=81.0°C | SOC=25% | API=63ms | throttle 42% | route=api
2023-01-01 08:00:00,8,2138.8125999261574,4096.094695961014,2375.0,1000.0,32.282096034856295,4500.0,0.0,2716.279967133625,0.0,80.96774193423634,65.64516129465191,0.7661290322580643,35.0,43.43131347773511,0.5,api,1,T_chip=81.0°C | SOC=38% | API=43ms | throttle 42% | route=api
2023-01-01 09:00:00,9,3392.7661852692127,3955.344476843749,2375.0,0.0,0.0,2137.5782915745367,0.0,2716.279967133625,0.0,80.96774193460173,65.64516129338394,0.7661290322580643,35.0,58.838183211876746,0.7,api,1,T_chip=81.0°C | SOC=38% | API=59ms | throttle 42% | route=api
2023-01-01 10:00:00,10,4145.141732430947,3837.016980918095,2375.0,0.0,0.0,1266.8752484871484,0.0,2716.279967133625,0.0,80.96774193353102,65.64516129709966,0.7661290322580643,35.0,43.51030025709864,0.5,api,1,T_chip=81.0°C | SOC=38% | API=44ms | throttle 42% | route=api
