timestamp,pv_kw,bess_kw,soc,total_load_kw,v_MV Grid,v_LV Busbar,v_PV Plant,v_BESS,v_Biotech Lab,v_Office Building,v_EV Charging
2022-01-01 00:00:00-08:00,0.0,0.0,0.5,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-01 01:00:00-08:00,0.0,0.0,0.5,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-01 02:00:00-08:00,0.0,0.0,0.5,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-01 03:00:00-08:00,0.0,0.0,0.5,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-01 04:00:00-08:00,0.0,0.0,0.5,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-01 05:00:00-08:00,0.0,0.0,0.5,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-01 06:00:00-08:00,0.0,0.0,0.5,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-01 07:00:00-08:00,0.0,0.0,0.5,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-01 08:00:00-08:00,0.0,0.0,0.5,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-01 09:00:00-08:00,8.320208200122437,0.0,0.5,57.0,1.02,1.0168560012703731,1.02029583600743,1.016856009703978,1.0018186324480898,1.0160714168259664,1.0150011903740417
2022-01-01 10:00:00-08:00,61.66087373600186,-4.660873736001861,0.5,57.0,1.02,1.018357568244745,1.0432539536880736,1.0180356584598784,1.003343053736248,1.017574143826298,1.0165055029862853
2022-01-01 11:00:00-08:00,83.20274639766716,-26.202746397667156,0.5113571444429829,57.0,1.02,1.0182780729376313,1.0515884122434813,1.016465340844201,1.0032623502543745,1.0174945871916778,1.0164258625249052
2022-01-01 12:00:00-08:00,90.95415842608338,-33.95415842608338,0.5752053395447942,57.0,1.02,1.0182433736893692,1.0545479841888883,1.0158929868456248,1.0032271235828296,1.017459861171296,1.0163910999104895
2022-01-01 13:00:00-08:00,99.8490947278194,-42.849094727819406,0.6579413893773185,57.0,1.02,1.018199661846245,1.0579191926562752,1.015231497925053,1.0031827472728139,1.0174161155997998,1.0163473082366496
2022-01-01 14:00:00-08:00,112.80125738227348,-55.059312831743235,0.7623517179206419,57.0,1.02,1.018153248572434,1.0628049854343293,1.0143357089653677,1.0031356284021369,1.0173696665099916,1.0163008101909703
2022-01-01 15:00:00-08:00,121.4517613820736,-1.3941329379929979,0.8965146676550175,57.0,1.02,1.0201313523284803,1.0679657436948244,1.02003526062359,1.0051437446573124,1.019349293819595,1.0182825199909744
2022-01-01 16:00:00-08:00,66.50165917724708,-0.035300234398771835,0.8999117494140031,57.0,1.02,1.018650092732238,1.0454416431222857,1.0186476645696803,1.0036400223305584,1.0178668939022184,1.016798561412041
2022-01-01 17:00:00-08:00,55.46328722353817,22.8,0.8999977654452552,57.0,1.02,1.0190633187601836,1.0414985852713063,1.020633889247282,1.0040595216442838,1.0182804383794446,1.0172125411668254
2022-01-01 18:00:00-08:00,18.46716568655647,22.8,0.8415169993764015,57.0,1.02,1.0179297537281449,1.0255234141874472,1.0195020674576407,1.0029087349387344,1.0171459991542522,1.0160769070340328
2022-01-01 19:00:00-08:00,0.0,22.8,0.7830362333075477,57.0,1.02,1.0173330032472392,1.0173333069991723,1.0189062362371035,1.0023029021950263,1.0165487876801593,1.0154790654394021
2022-01-01 20:00:00-08:00,0.0,22.8,0.7245554672386939,57.0,1.02,1.0173330032472392,1.0173333069991723,1.0189062362371035,1.0023029021950263,1.0165487876801593,1.0154790654394021
2022-01-01 21:00:00-08:00,0.0,22.8,0.6660747011698401,57.0,1.02,1.0173330032472392,1.0173333069991723,1.0189062362371035,1.0023029021950263,1.0165487876801593,1.0154790654394021
2022-01-01 22:00:00-08:00,0.0,0.0,0.6075939351009864,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-01 23:00:00-08:00,0.0,0.0,0.6075939351009864,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-02 00:00:00-08:00,0.0,0.0,0.6075939351009864,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-02 01:00:00-08:00,0.0,0.0,0.6075939351009864,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-02 02:00:00-08:00,0.0,0.0,0.6075939351009864,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-02 03:00:00-08:00,0.0,0.0,0.6075939351009864,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-02 04:00:00-08:00,0.0,0.0,0.6075939351009864,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-02 05:00:00-08:00,0.0,0.0,0.6075939351009864,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-02 06:00:00-08:00,0.0,0.0,0.6075939351009864,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-02 07:00:00-08:00,0.0,0.0,0.6075939351009864,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-02 08:00:00-08:00,0.0,0.0,0.6075939351009864,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-02 09:00:00-08:00,12.370893541491656,0.0,0.6075939351009864,57.0,1.02,1.016987569571501,1.0220924189551408,1.016987578006197,1.0019522060828312,1.0162030869067757,1.015132999575638
2022-01-02 10:00:00-08:00,74.69707661025384,-17.697076610253845,0.6075939351009864,57.0,1.02,1.0183124636678684,1.0483170915309388,1.017088960440417,1.0032972636813546,1.0175290044541923,1.016460316053611
2022-01-02 11:00:00-08:00,87.03595605965504,-30.035956059655035,0.6507163766571047,57.0,1.02,1.0182613111590515,1.0530545300393954,1.0161827804915933,1.0032453337040126,1.0174778124808177,1.0164090701372868
2022-01-02 12:00:00-08:00,88.68271057593562,-31.682710575935616,0.7239049483228988,57.0,1.02,1.0182538710790008,1.0536828379874004,1.0160611041014742,1.0032377805351511,1.017470366660356,1.0164016164704237
2022-01-02 13:00:00-08:00,96.98471595853802,-39.55753424386565,0.8011061643903359,57.0,1.02,1.0182282639638114,1.0568500490211838,1.0154888409339502,1.0032117841799988,1.017444739787294,1.0163759625908964
2022-01-02 14:00:00-08:00,109.1818587836414,-1.001619137595977,0.8974959521560101,57.0,1.02,1.019816629526199,1.0630305673354605,1.0197475751594365,1.0048242549175879,1.0190343290117727,1.0179672243961175
2022-01-02 15:00:00-08:00,117.25798728107576,-0.02536156299868253,0.8999365960925033,57.0,1.02,1.0200641051668546,1.0663224862457674,1.0200623654642273,1.0050754791975598,1.019281994960975,1.0182151504699928
2022-01-02 16:00:00-08:00,63.23502159868703,-0.0006421691175706457,0.8999983945772061,57.0,1.02,1.0185555825076573,1.044066698002902,1.0185555466254077,1.0035440765745882,1.0177723108076604,1.0167038787138256
2022-01-02 17:00:00-08:00,48.27230082627564,22.8,0.8999999593497869,57.0,1.02,1.0188491946615617,1.038436740473642,1.0204200941416992,1.0038421475399009,1.018066149300192,1.0169980265812562
2022-01-02 18:00:00-08:00,10.950412596838683,22.8,0.8415191932809332,57.0,1.02,1.0176894369110085,1.022207815518467,1.0192621207059505,1.002664761952868,1.0169054967562505,1.01583615097026
2022-01-02 19:00:00-08:00,0.0,22.8,0.7830384272120794,57.0,1.02,1.0173330032472392,1.0173333069991723,1.0189062362371035,1.0023029021950263,1.0165487876801593,1.0154790654394021
2022-01-02 20:00:00-08:00,0.0,22.8,0.7245576611432256,57.0,1.02,1.0173330032472392,1.0173333069991723,1.0189062362371035,1.0023029021950263,1.0165487876801593,1.0154790654394021
2022-01-02 21:00:00-08:00,0.0,22.8,0.6660768950743718,57.0,1.02,1.0173330032472392,1.0173333069991723,1.0189062362371035,1.0023029021950263,1.0165487876801593,1.0154790654394021
2022-01-02 22:00:00-08:00,0.0,0.0,0.6075961290055181,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
2022-01-02 23:00:00-08:00,0.0,0.0,0.6075961290055181,57.0,1.02,1.0165824867320397,1.0165827902598858,1.0165824951633757,1.00154094732572,1.0157976906153958,1.0147271748322118
